phase,method,n_way,k_shot,trial_or_seed,test_acc,val_acc,run_dir
fewshot_lp,shapenet_mix_nepa,10,10,0,0.375,0.38388625592417064,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_nepa_lp_N10_K10_t0
fewshot_lp,shapenet_mix_nepa,10,10,1,0.4,0.32882882882882886,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_nepa_lp_N10_K10_t1
fewshot_lp,shapenet_mix_nepa,10,10,2,0.2667560321715818,0.2923076923076923,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_nepa_lp_N10_K10_t2
fewshot_lp,shapenet_mix_nepa,10,10,3,0.19038461538461537,0.2568306010928962,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_nepa_lp_N10_K10_t3
fewshot_lp,shapenet_mix_nepa,10,10,4,0.31666666666666665,0.3193717277486911,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_nepa_lp_N10_K10_t4
fewshot_lp,shapenet_mix_nepa,10,10,5,0.3361774744027304,0.34234234234234234,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_nepa_lp_N10_K10_t5
fewshot_lp,shapenet_mix_nepa,10,10,6,0.3033033033033033,0.3333333333333333,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_nepa_lp_N10_K10_t6
fewshot_lp,shapenet_mix_nepa,10,10,7,0.2777777777777778,0.304,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_nepa_lp_N10_K10_t7
fewshot_lp,shapenet_mix_nepa,10,10,8,0.5014705882352941,0.4377224199288256,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_nepa_lp_N10_K10_t8
fewshot_lp,shapenet_mix_nepa,10,10,9,0.33646112600536193,0.32510288065843623,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_nepa_lp_N10_K10_t9
fewshot_lp,shapenet_mix_nepa,10,20,0,0.4,0.41232227488151657,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_nepa_lp_N10_K20_t0
fewshot_lp,shapenet_mix_nepa,10,20,1,0.47307692307692306,0.45045045045045046,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_nepa_lp_N10_K20_t1
