runset	variant	status	test_acc	model_source	log
patchcls_ft_from_patchnepa99710_20260228_181336	obj_only_nepa2d	completed	0.8365	patchcls	logs/sanity/patchcls/patchcls_ft_from_patchnepa99710_20260228_181336/obj_only_nepa2d.out
patchcls_ft_from_patchnepa_pt16_rfpsbank_20260228_231732	obj_only_nepa2d	completed	0.7849	patchcls	logs/sanity/patchcls/patchcls_ft_from_patchnepa_pt16_rfpsbank_20260228_231732/obj_only_nepa2d.out
patchcls_ft_from_patchnepa_ptonly_onepass_20260228_222007	obj_only_nepa2d	completed	0.7986	patchcls	logs/sanity/patchcls/patchcls_ft_from_patchnepa_ptonly_onepass_20260228_222007/obj_only_nepa2d.out
patchcls_pmstrict_align_ng128_initpm_20260228_052736	obj_only_nepa2d	completed	0.8003	-	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/obj_only_nepa2d.out
patchcls_pmstrict_align_ng64_initpm_20260228_063529	obj_only_nepa2d	completed	0.7694	-	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/obj_only_nepa2d.out
patchcls_scratch_file_tta10_recheck_20260228_232553	obj_only_nepa2d	completed	0.7849	patchcls	logs/sanity/patchcls/patchcls_scratch_file_tta10_recheck_20260228_232553/obj_only_nepa2d.out
patchnepaFT_from_ptonly_20260301_013921	obj_only_nepa2d	no_test_acc	-	-	logs/sanity/patchcls/patchnepaFT_from_ptonly_20260301_013921/obj_only_nepa2d.out
patchnepaFT_from_ptonly_fix_20260301_014058	obj_only_nepa2d	completed	0.7797	patchnepa(direct)	logs/sanity/patchcls/patchnepaFT_from_ptonly_fix_20260301_014058/obj_only_nepa2d.out
patchnepaFT_from_ray_20260301_013921	obj_only_nepa2d	completed	0.7952	patchnepa(direct)	logs/sanity/patchcls/patchnepaFT_from_ray_20260301_013921/obj_only_nepa2d.out
patchnepa_rayqa_ft_from100011_20260301_002046	obj_only_nepa2d	no_test_acc	-	patchcls	logs/sanity/patchcls/patchnepa_rayqa_ft_from100011_20260301_002046/obj_only_nepa2d.out
patchnepa_rayqa_ft_from100011_queryonly_20260301_002508	obj_only_nepa2d	completed	0.7762	patchcls	logs/sanity/patchcls/patchnepa_rayqa_ft_from100011_queryonly_20260301_002508/obj_only_nepa2d.out
patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_dualmask_splitsep_rfpsbankfix_20260301_004055	obj_only_nepa2d	no_test_acc	-	-	logs/sanity/patchcls/patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_dualmask_splitsep_rfpsbankfix_20260301_004055/obj_only_nepa2d.out
