runset	variant	status	test_acc	patchnepa_ft_mode	pooling	cls_token	is_causal	model_source	log
patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157	pb_t50_rs	completed	0.7512	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157/pb_t50_rs.out
patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200	pb_t50_rs	completed	0.7488	q_only	mean_q	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200/pb_t50_rs.out
patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155	pb_t50_rs	completed	0.7533	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155/pb_t50_rs.out
patchnepaFT_splitx2_dualmask_baseline_20260301_040740	pb_t50_rs	completed	0.7519	qa_zeroa	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_baseline_20260301_040740/pb_t50_rs.out
patchnepaFT_splitx2_dualmask_qonly_20260301_040743	pb_t50_rs	no_test_acc	-	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_qonly_20260301_040743/pb_t50_rs.out
patchnepaFT_splitx2_dualmask_qonly_meanq_20260301_040745	pb_t50_rs	no_test_acc	-	q_only	mean_q	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_qonly_meanq_20260301_040745/pb_t50_rs.out
patchnepaFT_splitx2_encdec1_baseline_20260301_040736	pb_t50_rs	completed	0.7502	qa_zeroa	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_encdec1_baseline_20260301_040736/pb_t50_rs.out
patchnepaFT_splitx2_encdec1_qonly_20260301_040738	pb_t50_rs	no_test_acc	-	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_encdec1_qonly_20260301_040738/pb_t50_rs.out
patchnepa_ft	pb_t50_rs	completed	0.7720	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/pb_t50_rs.out
patchnepa_ft_variants_20260301_223043	pb_t50_rs	completed	0.6072	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_ft_variants_20260301_223043/pb_t50_rs.out
patchnepaFT_indpatch_llrdoff_default_20260302_0015	obj_only	completed	0.7762	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_indpatch_llrdoff_default_20260302_0015/obj_only.out
patchnepaFT_from_ptonlyema_rerun_llrdoff_20260302_003621	obj_bg	no_test_acc	-	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_from_ptonlyema_rerun_llrdoff_20260302_003621/obj_bg.out
patchnepaFT_from_ptonlyema_rerun_llrdoff_20260302_003621	obj_only	no_test_acc	-	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_from_ptonlyema_rerun_llrdoff_20260302_003621/obj_only.out
patchnepaFT_from_ptonlyema_rerun_llrdoff_20260302_003621	pb_t50_rs	no_test_acc	-	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_from_ptonlyema_rerun_llrdoff_20260302_003621/pb_t50_rs.out
patchnepaFT_from_ptonlyema_rerun_llrdoff_pmhead_20260302_004316	obj_bg	completed	0.7711	qa_zeroa	cls_max	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_from_ptonlyema_rerun_llrdoff_pmhead_20260302_004316/obj_bg.out
patchnepaFT_from_ptonlyema_rerun_llrdoff_pmhead_20260302_004316	obj_only	completed	0.7659	qa_zeroa	cls_max	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_from_ptonlyema_rerun_llrdoff_pmhead_20260302_004316/obj_only.out
patchnepaFT_from_ptonlyema_rerun_llrdoff_pmhead_20260302_004316	pb_t50_rs	completed	0.7207	qa_zeroa	cls_max	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_from_ptonlyema_rerun_llrdoff_pmhead_20260302_004316/pb_t50_rs.out
patchnepaFT_bindfix_llrdoff_default_20260302_005751	obj_only	completed	0.7367	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_bindfix_llrdoff_default_20260302_005751/obj_only.out
patchnepaFT_from_dualmask_indpatch_cmp_20260302_031129	obj_bg	no_test_acc	-	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_from_dualmask_indpatch_cmp_20260302_031129/obj_bg.out
patchnepaFT_from_dualmask_indpatch_cmp_20260302_031129	obj_only	no_test_acc	-	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_from_dualmask_indpatch_cmp_20260302_031129/obj_only.out
